User,CARD INDEX,Card Brand,Card Type,Card Number,Expires,CVV,Has Chip,Cards Issued,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web
0,0,Visa,Debit,4344676511950444,12/2022,623,YES,2,24295.0,09/2002,2008,No
0,1,Visa,Debit,4956965974959986,12/2020,393,YES,2,21968.0,04/2014,2014,No
0,2,Visa,Debit,4582313478255491,02/2024,719,YES,2,46414.0,07/2003,2004,No
0,3,Visa,Credit,4879494103069057,08/2024,693,NO,1,12400.0,01/2003,2012,No
0,4,Mastercard,Debit (Prepaid),5722874738736011,03/2009,75,YES,1,28.0,09/2008,2009,No
1,0,Visa,Credit,4404898874682993,09/2003,736,YES,1,27500.0,09/2003,2012,No
1,1,Visa,Debit,4001482973848631,07/2022,972,YES,2,28508.0,02/2011,2011,No
1,2,Mastercard,Debit,5627220683410948,06/2022,48,YES,2,9022.0,07/2003,2015,No
1,3,Mastercard,Debit (Prepaid),5711382187309326,11/2020,722,YES,2,54.0,06/2010,2015,No
1,4,Mastercard,Debit (Prepaid),5766121508358701,02/2023,908,YES,1,99.0,07/2006,2012,No
2,0,Mastercard,Debit,5495199163052054,03/2022,677,YES,2,31599.0,10/2009,2009,No
2,1,Mastercard,Debit,5804499644308599,07/2023,258,NO,2,27480.0,03/2002,2008,No
2,2,Mastercard,Debit,5766352389579834,02/2020,992,YES,1,26743.0,03/2019,2019,No
2,3,Visa,Debit,4242015583697294,06/2020,928,YES,1,31463.0,04/2014,2014,No
2,4,Mastercard,Debit,5191030913182493,06/2024,360,YES,1,16055.0,09/2009,2009,No
3,0,Visa,Credit,4017261190134817,05/2015,877,YES,2,98100.0,01/2011,2011,No
3,1,Mastercard,Debit (Prepaid),5581970288727991,06/2020,448,YES,1,62.0,02/2007,2007,No
3,2,Visa,Debit,4032240655674503,06/2022,53,YES,1,132439.0,11/2010,2011,No
3,3,Visa,Debit,4935974646456357,06/2020,649,YES,1,125723.0,10/2009,2010,No
4,0,Mastercard,Debit,5905027855347659,01/2022,886,YES,1,34900.0,12/1999,2012,No
5,0,Visa,Credit,4099623033306950,09/2021,74,YES,2,9900.0,01/2002,2019,No
5,1,Visa,Debit,4281200324251212,07/2013,865,YES,2,21587.0,09/2007,2007,No
5,2,Visa,Credit,4411456925570768,11/2022,922,YES,2,15800.0,11/2005,2011,No
6,0,Mastercard,Debit,5202477865497336,04/2022,861,YES,1,29964.0,06/2005,2014,No
6,1,Mastercard,Credit,5089768442116305,07/2023,686,YES,2,11200.0,09/2010,2010,No
6,2,Mastercard,Debit,5767339719294372,12/2021,669,NO,2,26753.0,10/2014,2014,No
7,0,Visa,Debit,4595831603224644,05/2023,689,NO,2,17480.0,01/2020,2020,No
8,0,Mastercard,Debit,5341049613275152,09/2021,396,YES,2,26546.0,11/2009,2009,No
8,1,Mastercard,Debit,5668831527649353,01/2021,356,YES,1,23253.0,09/2017,2017,No
8,2,Visa,Credit,4400056931148232,02/2021,497,YES,1,16100.0,01/2005,2014,No
8,3,Visa,Credit,4808554251869440,02/2021,921,YES,2,8700.0,01/2012,2012,No
8,4,Mastercard,Debit,5224739362243611,01/2019,922,YES,1,29333.0,05/2012,2012,No
9,0,Mastercard,Debit,5294178176133532,07/2024,265,YES,2,9496.0,07/2009,2012,No
10,0,Visa,Debit,4857799018106614,07/2021,930,YES,1,25499.0,02/2020,2020,No
10,1,Visa,Debit,4324062360619923,02/2020,358,YES,1,18641.0,02/2020,2020,No
11,0,Visa,Debit,4852639114720724,05/2023,995,YES,1,26019.0,01/2020,2020,No
12,0,Mastercard,Debit,5656383455895230,01/2021,547,YES,1,25845.0,02/2020,2020,No
13,0,Visa,Debit,4556928160477229,06/2023,64,YES,2,2365.0,01/2007,2009,No
13,1,Mastercard,Debit,5515782790823587,06/2023,419,YES,2,18684.0,07/2006,2017,No
13,2,Visa,Credit,4508388296516458,02/2021,364,NO,2,7400.0,02/2020,2020,No
14,0,Mastercard,Debit,5548265564669334,12/2024,145,YES,2,4147.0,12/2008,2016,No
15,0,Visa,Debit (Prepaid),4986270376099447,04/2022,385,YES,1,76.0,12/2012,2012,No
15,1,Discover,Credit,6726060094896113,01/2009,105,NO,1,4700.0,12/2008,2014,No
15,2,Visa,Credit,4157109762296149,06/2021,433,YES,2,5800.0,08/2007,2011,No
15,3,Mastercard,Debit,5231462717450524,03/2024,754,YES,2,12082.0,08/2016,2016,No
15,4,Mastercard,Credit,5074836567307562,03/2023,741,NO,2,6000.0,06/2002,2010,No
15,5,Visa,Debit,4986369179342271,11/2009,367,YES,1,620.0,02/2002,2014,No
16,0,Mastercard,Debit,5892013969159900,08/2022,879,YES,1,14499.0,01/2008,2008,No
16,1,Mastercard,Debit,5179157151686144,07/2023,457,YES,2,12332.0,08/2007,2009,No
16,2,Mastercard,Debit,5569640141329524,09/2024,904,YES,1,18424.0,08/2013,2013,No
16,3,Visa,Credit,4708914311449293,07/2023,149,NO,1,15400.0,08/2003,2008,No
16,4,Visa,Debit,4795724941278913,02/2022,136,YES,2,14548.0,08/2007,2013,No
16,5,Mastercard,Credit,5300159511214994,12/2016,740,YES,2,10100.0,09/2016,2016,No
17,0,Discover,Credit,6580244636542196,04/2011,416,YES,1,11200.0,02/2004,2008,No
17,1,Mastercard,Debit,5032457975030967,10/2024,240,YES,2,20291.0,12/2009,2011,No
17,2,Visa,Debit,4382324870900908,08/2018,852,YES,1,32092.0,01/2006,2010,No
17,3,Mastercard,Debit,5456808094753905,02/2020,217,YES,1,20463.0,01/2020,2020,No
18,0,Visa,Debit,4465362453388909,08/2022,738,YES,1,15802.0,01/2020,2020,No
18,1,Visa,Debit,4668447208616693,02/2020,314,NO,2,4612.0,02/2020,2020,No
18,2,Discover,Credit,6377595394803324,07/2020,675,YES,2,19900.0,01/2020,2020,No
19,0,Mastercard,Debit (Prepaid),5117090980312402,10/2020,42,YES,1,73.0,02/2000,2012,No
19,1,Mastercard,Debit,5377858405611171,01/2024,24,YES,1,11858.0,09/2009,2010,No
19,2,Mastercard,Debit,5585238056278288,03/2005,749,YES,1,9664.0,01/1998,2011,No
19,3,Mastercard,Debit,5355281784290567,06/2020,810,YES,1,8367.0,03/2009,2009,No
19,4,Visa,Credit,4150093118072730,06/2022,135,YES,2,6100.0,02/2004,2009,No
20,0,Mastercard,Debit,5979295728871785,02/2020,630,YES,3,9944.0,02/2020,2020,No
20,1,Visa,Credit,4473643731469839,01/2020,771,YES,1,7900.0,01/2020,2020,No
20,2,Visa,Credit,4800116569994473,12/2020,201,YES,1,5600.0,02/2020,2020,No
21,0,Visa,Debit,4832328468851061,08/2023,580,YES,1,68400.0,01/2020,2020,No
21,1,Mastercard,Debit,5278075482033392,04/2023,437,YES,2,77237.0,01/2020,2020,No
22,0,Visa,Debit,4869845530765333,08/2024,701,YES,2,4488.0,07/2002,2015,No
22,1,Visa,Credit,4231526239204033,02/2020,499,YES,2,12500.0,11/2014,2014,No
23,0,Mastercard,Debit,5813611925507601,12/2020,734,YES,2,23432.0,09/2001,2008,No
23,1,Amex,Credit,366520954874839,05/2022,447,YES,2,8800.0,05/2005,2011,No
24,0,Mastercard,Credit,5392697458480962,02/2020,886,YES,2,12100.0,02/2020,2020,No
25,0,Mastercard,Debit,5048151330736425,02/2020,931,YES,1,9708.0,01/2020,2020,No
25,1,Amex,Credit,371643368691556,11/2021,683,YES,2,12000.0,07/2009,2011,No
25,2,Mastercard,Debit,5700734711260263,11/2023,230,YES,1,11973.0,03/2012,2012,No
26,0,Mastercard,Debit,5389442391430673,02/2022,658,YES,2,13601.0,10/2006,2014,No
26,1,Mastercard,Credit,5079116875907423,01/2024,849,YES,2,7800.0,02/2020,2020,No
27,0,Visa,Debit,4390425683290569,10/2023,790,YES,2,17816.0,08/2008,2016,No
28,0,Mastercard,Debit,5217568630125704,03/2021,625,NO,2,17707.0,10/2010,2010,No
28,1,Amex,Credit,397856635669220,11/2020,2,YES,1,9500.0,05/2005,2009,No
29,0,Mastercard,Debit,5529182104663869,01/2022,182,YES,1,19110.0,05/2010,2011,No
29,1,Mastercard,Debit,5489017664251289,08/2023,196,YES,1,13428.0,10/2016,2016,No
29,2,Mastercard,Debit,5793675314684781,06/2022,43,YES,1,24608.0,08/2005,2009,No
29,3,Mastercard,Debit,5845373196638993,09/2022,111,YES,1,13441.0,01/2008,2011,No
30,0,Mastercard,Debit (Prepaid),5750288075891808,02/2020,788,YES,2,74.0,01/2020,2020,No
31,0,Mastercard,Debit,5429789020188285,10/2012,674,YES,1,17872.0,06/2008,2008,No
31,1,Mastercard,Credit,5301114615829913,09/2022,425,YES,1,12900.0,12/2003,2010,No
31,2,Mastercard,Debit,5571104183564029,05/2024,52,YES,2,25264.0,03/2006,2020,No
